CustID,CreditScore,Geography,Gender,Age,Tenure,Balance,Num Of accounts,Cr Card,active member,monthly Salary,Bank customer Exited
147,635,Spain,Female,29,8,138296.94,2,1,Inactive,141075.51,Non_exited
148,650,France,Male,37,5,106967.18,1,0,Inactive,24495.03,Non_exited
149,735,France,Male,44,9,120681.63,1,1,Inactive,74836.34,Non_exited
150,416,France,Male,32,0,0,2,0,Active,878.87,Non_exited
151,754,Spain,Female,32,7,0,2,1,Inactive,89520.75,Non_exited
152,535,France,Female,48,9,0,1,1,Inactive,149892.79,Exited
153,716,Spain,Male,42,8,0,2,1,Inactive,180800.42,Non_exited
154,539,France,Male,37,2,127609.59,1,1,Inactive,98646.22,Non_exited
155,614,France,Female,43,6,0,2,1,Active,109041.53,Non_exited
156,706,Spain,Male,57,7,0,1,1,Inactive,17941.16,Exited
157,758,France,Female,33,7,0,2,0,Inactive,82996.47,Non_exited
158,586,Spain,Female,28,2,0,2,1,Active,92067.35,Non_exited
159,646,France,Female,73,6,97259.25,1,0,Active,104719.66,Non_exited
160,631,Germany,Female,33,4,123246.7,1,0,Inactive,112687.57,Non_exited
161,717,Spain,Female,22,6,101060.25,1,0,Active,84699.56,Non_exited
162,684,France,Male,30,2,0,2,1,Inactive,83473.82,Non_exited
163,800,France,Female,49,7,108007.36,1,0,Inactive,47125.11,Non_exited
164,721,Spain,Female,36,2,0,2,1,Active,106977.8,Non_exited
165,683,Spain,Male,29,0,133702.89,1,1,Inactive,55582.54,Exited
166,660,Germany,Male,31,9,125189.75,2,1,Active,139874.43,Non_exited
167,704,Germany,Female,24,7,113034.22,1,1,Inactive,162503.48,Exited
168,615,Spain,Female,41,9,109013.23,1,1,Inactive,196499.96,Non_exited
169,667,Spain,Female,39,2,0,2,1,Inactive,40721.24,Exited
170,682,Germany,Male,24,9,57929.81,2,0,Inactive,53134.3,Non_exited
171,484,France,Female,29,4,130114.39,1,1,Inactive,164017.89,Non_exited
172,628,Germany,Male,27,5,95826.49,2,1,Inactive,155996.96,Non_exited
173,480,Germany,Male,44,10,129608.57,1,1,Inactive,5472.7,Exited
174,578,France,Male,30,4,169462.09,1,1,Inactive,112187.11,Non_exited
175,512,France,Male,40,5,0,2,1,Active,146457.83,Non_exited
176,484,Spain,Female,35,7,133868.21,1,1,Active,27286.1,Non_exited
177,510,France,Female,30,0,0,2,1,Active,130553.47,Non_exited
178,606,Germany,Male,36,5,190479.48,2,0,Inactive,179351.89,Non_exited
179,597,Spain,Female,40,8,101993.12,1,0,Active,94774.12,Non_exited
180,754,Germany,Female,55,3,161608.81,1,1,Inactive,8080.85,Exited
181,850,Spain,Female,45,2,122311.21,1,1,Active,19482.5,Non_exited
182,510,France,Male,65,2,0,2,1,Active,48071.61,Non_exited
183,778,Germany,Female,45,1,162150.42,2,1,Inactive,174531.27,Non_exited
184,636,France,Male,42,2,0,2,1,Active,55470.78,Non_exited
185,804,France,Female,50,4,0,1,1,Active,8546.87,Exited
186,514,France,Male,32,8,0,2,1,Inactive,95857.18,Non_exited
187,730,France,Female,39,1,99010.67,1,1,Inactive,194945.8,Non_exited
188,525,Spain,Female,37,0,0,1,0,Active,131521.72,Non_exited
189,616,Spain,Male,30,5,0,2,0,Active,196108.51,Non_exited
190,687,Germany,Female,34,7,111388.18,2,1,Inactive,148564.76,Non_exited
191,715,France,Female,41,8,56214.85,2,0,Inactive,92982.61,Exited
192,512,France,Female,36,3,84327.77,2,1,Inactive,17675.36,Non_exited
193,479,France,Male,40,1,0,2,0,Inactive,114996.43,Non_exited
194,601,France,Male,32,8,93012.89,1,1,Inactive,86957.42,Non_exited
195,580,Spain,Male,29,9,61710.44,2,1,Inactive,128077.8,Non_exited
196,807,France,Male,35,3,174790.15,1,1,Active,600.36,Non_exited
197,616,Spain,Female,32,6,0,2,1,Active,43001.46,Non_exited
198,721,Germany,Male,37,3,107720.64,1,1,Active,158591.12,Non_exited
199,501,France,Male,57,10,0,2,1,Active,47847.19,Non_exited
200,521,France,Male,35,6,96423.84,1,1,Inactive,10488.44,Non_exited
201,850,Spain,Male,30,2,141040.01,1,1,Active,5978.2,Non_exited
202,759,France,Male,42,4,105420.18,1,0,Active,121409.06,Non_exited
203,516,Spain,Male,50,5,0,1,0,Active,146145.93,Exited
204,711,France,Female,38,2,129022.06,2,1,Active,14374.86,Exited
205,512,Spain,Male,33,3,176666.62,1,1,Inactive,94670.77,Non_exited
206,550,France,Male,37,3,0,1,1,Active,179670.31,Non_exited
207,608,Spain,Female,41,3,89763.84,1,0,Inactive,199304.74,Exited
208,618,France,Male,34,5,134954.53,1,1,Active,151954.39,Non_exited
209,643,France,Male,45,5,0,1,1,Inactive,142513.5,Exited
210,671,France,Male,45,2,106376.85,1,0,Active,158264.62,Non_exited
211,689,Germany,Male,33,2,161814.64,2,1,Inactive,169381.9,Non_exited
212,603,France,Male,31,8,0,2,1,Active,169915.02,Non_exited
213,620,France,Female,41,9,0,2,0,Inactive,88852.47,Non_exited
214,676,France,Female,34,1,63095.01,1,1,Active,40645.81,Non_exited
215,572,Germany,Male,26,4,118287.01,2,0,Inactive,60427.3,Non_exited
216,668,Germany,Male,47,7,106854.21,1,0,Active,157959.02,Exited
217,695,France,Male,46,7,49512.55,1,1,Inactive,133007.34,Non_exited
218,730,Spain,Female,33,9,0,2,0,Inactive,176576.62,Non_exited
219,807,France,Male,43,1,105799.32,2,1,Inactive,34888.04,Exited
220,592,France,Male,54,8,0,1,1,Active,28737.71,Exited
221,726,France,Female,31,9,114722.05,2,1,Active,98178.57,Non_exited
222,514,Spain,Male,30,7,0,1,0,Active,125010.24,Non_exited
223,567,France,Male,42,2,0,2,1,Active,167984.61,Non_exited
224,850,France,Male,33,10,0,1,1,Inactive,4861.72,Exited
225,671,Germany,Male,45,6,99564.22,1,1,Active,108872.45,Exited
226,670,France,Male,37,4,170557.91,2,1,Inactive,198252.88,Non_exited
227,694,France,Female,30,9,0,2,1,Active,26960.31,Non_exited
228,547,Germany,Female,39,6,74596.15,3,1,Active,85746.52,Exited
229,751,Germany,Male,50,2,96888.39,1,1,Inactive,77206.25,Exited
230,594,Germany,Female,29,3,130830.22,1,1,Inactive,61048.53,Non_exited
231,673,France,Male,72,1,0,2,0,Active,111981.19,Non_exited
232,610,France,Male,40,0,0,2,1,Inactive,62232.6,Non_exited
233,512,France,Female,37,1,0,2,0,Active,156105.03,Non_exited
234,767,Germany,Male,20,3,119714.25,2,0,Active,150135.38,Non_exited
235,585,France,Female,67,5,113978.97,2,0,Active,93146.11,Non_exited
236,763,Germany,Male,42,6,100160.75,1,1,Inactive,33462.94,Exited
237,712,France,Female,29,2,0,1,1,Active,144375,Non_exited
238,539,Germany,Female,43,3,116220.5,3,1,Inactive,55803.96,Exited
239,668,France,Female,46,2,0,3,1,Inactive,89048.46,Exited
240,703,France,Male,28,2,81173.83,2,0,Active,162812.16,Non_exited
241,662,Spain,Male,38,4,0,2,1,Inactive,136259.65,Non_exited
242,725,Germany,Female,39,5,116803.8,1,1,Inactive,124052.97,Non_exited
243,703,France,Male,37,8,105961.68,2,0,Active,74158.8,Non_exited
244,659,Germany,Male,67,6,117411.6,1,1,Active,45071.09,Exited
245,523,Spain,Male,34,7,0,2,1,Inactive,62030.06,Non_exited
246,635,France,Female,40,10,123497.58,1,1,Inactive,131953.23,Exited
247,772,Germany,Male,26,7,152400.51,2,1,Inactive,79414,Non_exited
248,545,France,Female,26,1,0,2,1,Active,199638.56,Non_exited
249,634,Germany,Male,24,8,103097.85,1,1,Active,157577.29,Non_exited
250,739,Germany,Male,54,8,126418.14,1,1,Inactive,134420.75,Exited
251,771,Germany,Female,36,5,77846.9,1,0,Inactive,99805.99,Non_exited
252,587,Spain,Female,34,1,0,2,1,Active,97932.68,Non_exited
253,681,France,Female,79,0,0,2,0,Active,170968.99,Non_exited
254,544,Germany,Male,37,2,79731.91,1,1,Active,57558.95,Non_exited
255,696,Spain,Male,28,8,0,1,0,Inactive,176713.47,Non_exited
256,766,Spain,Male,41,0,0,2,0,Active,34283.23,Non_exited
257,727,France,Male,34,10,0,2,1,Active,198637.34,Non_exited
258,671,Germany,Female,34,6,37266.67,2,0,Inactive,156917.12,Non_exited
259,693,France,Female,30,6,127992.25,1,1,Active,50457.2,Non_exited
260,850,Germany,Male,38,3,54901.01,1,1,Active,140075.55,Non_exited
261,732,Germany,Male,42,9,108748.08,2,1,Active,65323.11,Non_exited
262,726,Spain,Female,48,6,99906.19,1,1,Inactive,64323.24,Non_exited
263,557,France,Female,32,6,184686.41,2,1,Inactive,14956.44,Non_exited
264,682,France,Female,26,0,110654.02,1,0,Active,111879.21,Non_exited
265,738,Spain,Male,31,9,79019.8,1,1,Active,18606.23,Non_exited
266,531,Spain,Female,36,9,99240.51,1,1,Inactive,123137.01,Non_exited
267,498,France,Male,34,2,0,2,1,Active,148528.24,Non_exited
268,651,France,Male,36,7,0,2,1,Inactive,13898.31,Non_exited
269,549,Spain,Female,39,7,0,1,0,Inactive,81259.25,Exited
270,791,Germany,Female,35,7,52436.2,1,1,Inactive,161051.75,Non_exited
271,650,Spain,Male,41,9,0,2,0,Active,191599.67,Non_exited
272,733,Germany,Male,34,3,100337.96,3,1,Inactive,48559.19,Exited
273,811,Germany,Female,34,1,149297.19,2,1,Active,186339.74,Non_exited
274,707,France,Male,30,8,0,2,1,Inactive,33159.37,Non_exited
275,712,Germany,Male,28,4,145605.44,1,0,Active,93883.53,Non_exited
276,706,Spain,Female,37,7,0,2,1,Active,110899.3,Non_exited
277,756,France,Male,62,3,0,1,1,Active,11199.04,Exited
278,777,France,Female,53,10,0,2,1,Inactive,189992.97,Non_exited
279,646,France,Male,35,6,84026.86,1,0,Active,164255.69,Non_exited
280,714,France,Male,46,1,0,1,1,Inactive,152167.79,Exited
281,782,France,Male,39,8,0,2,1,Active,33949.67,Non_exited
282,775,Spain,Male,29,10,0,2,1,Active,68143.93,Non_exited
283,479,Germany,Male,35,4,138718.92,1,1,Active,47251.79,Exited
284,807,France,Male,42,7,118274.71,1,1,Active,25885.72,Non_exited
285,799,France,Female,22,8,174185.98,2,0,Active,192633.85,Non_exited
286,675,France,Male,40,7,113208.86,2,1,Inactive,34577.36,Non_exited
287,602,Spain,Male,29,5,103907.28,1,1,Inactive,161229.84,Non_exited
288,475,France,Female,32,8,119023.28,1,1,Inactive,100816.29,Non_exited
289,744,Spain,Female,26,5,166297.89,1,1,Active,181694.44,Non_exited
290,588,Spain,Male,34,10,0,2,1,Inactive,79078.91,Non_exited
291,703,Germany,Male,42,9,63227,1,0,Active,137316.32,Non_exited
292,747,Spain,Female,41,5,94521.17,2,1,Inactive,194926.86,Non_exited
293,583,France,Male,27,7,0,2,1,Inactive,51285.49,Non_exited
294,750,Spain,Female,34,9,112822.26,1,0,Inactive,150401.53,Exited
295,681,France,Male,38,3,0,2,1,Active,112491.96,Non_exited
296,773,France,Male,25,2,135903.33,1,1,Inactive,73656.38,Non_exited
297,714,France,Female,31,4,125169.26,1,1,Active,106636.89,Non_exited
298,687,Spain,Female,44,7,0,3,1,Inactive,155853.52,Exited
299,511,France,Male,58,0,149117.31,1,1,Active,162599.51,Non_exited
300,627,France,Male,33,5,0,2,1,Active,103737.82,Non_exited
301,694,France,Female,31,10,0,2,1,Inactive,160990.27,Non_exited
302,616,Spain,Female,36,6,132311.71,1,0,Inactive,15462.84,Non_exited
303,687,France,Male,35,8,0,2,1,Inactive,10334.05,Non_exited
304,712,France,Female,33,6,0,2,1,Active,190686.16,Non_exited
305,553,France,Male,33,4,118082.89,1,0,Inactive,94440.45,Non_exited
306,667,France,Male,31,1,119266.69,1,1,Active,28257.63,Non_exited
307,731,France,Male,43,2,0,1,1,Active,170034.95,Exited
308,629,Germany,Male,35,7,156847.29,2,1,Inactive,31824.29,Non_exited
309,614,France,Male,50,4,137104.47,1,1,Inactive,127166.49,Exited
310,438,Germany,Male,31,8,78398.69,1,1,Inactive,44937.01,Non_exited
311,652,France,Female,80,4,0,2,1,Active,188603.07,Non_exited
312,729,Germany,Male,30,6,63669.42,1,1,Inactive,145111.37,Non_exited
313,642,France,Male,38,3,0,2,0,Inactive,171463.83,Non_exited
314,806,Germany,Female,59,0,135296.33,1,1,Inactive,182822.5,Non_exited
315,744,Spain,Male,36,2,153804.44,1,1,Active,87213.33,Non_exited
316,474,Spain,Male,37,3,0,2,0,Inactive,57175.32,Non_exited
317,559,France,Male,49,2,147069.78,1,1,Inactive,120540.83,Exited
318,706,Spain,Male,42,9,0,2,1,Active,28714.34,Non_exited
319,628,Spain,Female,22,3,0,1,1,Inactive,85426.28,Non_exited
320,429,France,Male,24,4,95741.75,1,1,Inactive,46170.75,Non_exited
321,525,Spain,Female,57,2,145965.33,1,1,Active,64448.36,Non_exited
322,680,France,Female,30,8,141441.75,1,1,Active,16278.97,Non_exited
323,749,France,Male,40,1,139290.41,1,1,Inactive,182855.42,Exited
324,763,France,Female,31,4,0,2,0,Inactive,50404.72,Non_exited
325,734,France,Male,30,3,0,2,1,Inactive,107640.25,Non_exited
326,716,France,Male,35,4,144428.87,1,1,Inactive,134132.65,Non_exited
327,594,France,Male,35,2,0,2,1,Inactive,103480.69,Non_exited
328,644,France,Female,46,9,95441.27,1,1,Inactive,108761.05,Exited
329,671,Germany,Male,35,1,144848.74,1,1,Active,179012.3,Non_exited
330,664,Germany,Male,26,7,116244.14,2,1,Active,95145.14,Non_exited
331,656,France,Male,50,7,0,2,0,Active,72143.44,Non_exited
332,667,Spain,Female,40,1,146502.07,1,1,Inactive,19162.89,Non_exited
333,663,Germany,Male,44,2,117028.6,2,0,Active,144680.18,Non_exited
334,584,Germany,Female,30,8,112013.81,1,1,Inactive,177772.03,Exited
335,626,Spain,Female,37,6,108269.37,1,1,Inactive,5597.94,Non_exited
336,485,France,Male,29,7,182123.79,1,1,Inactive,116828.51,Exited
337,659,Germany,Female,32,3,150923.74,2,0,Active,174652.51,Non_exited
338,649,France,Male,33,2,0,2,1,Inactive,2010.98,Non_exited
339,805,Spain,Female,39,5,165272.13,1,1,Inactive,14109.85,Exited
340,716,Germany,Female,39,10,115301.31,1,1,Inactive,43527.4,Exited
341,642,Germany,Female,40,6,129502.49,2,0,Active,86099.23,Exited
342,659,France,Male,31,4,118342.26,1,0,Inactive,161574.19,Non_exited
343,545,Spain,Female,47,5,0,2,1,Active,38970.14,Non_exited
344,543,France,Male,22,8,0,2,0,Inactive,127587.22,Non_exited
345,718,France,Female,25,7,0,2,1,Inactive,30380.12,Non_exited
346,840,France,Female,43,7,0,2,1,Inactive,90908.95,Non_exited
347,630,Germany,Female,34,9,106937.05,2,1,Inactive,138275.01,Non_exited
348,643,Germany,Male,59,3,170331.37,1,1,Active,32171.79,Non_exited
349,654,Germany,Female,32,1,114510.85,1,1,Active,126143.23,Non_exited
350,582,France,Male,39,5,0,2,1,Active,129892.93,Non_exited
351,659,Spain,Male,32,3,107594.11,2,1,Active,102416.84,Non_exited
352,762,Spain,Male,39,2,81273.13,1,1,Active,18719.67,Non_exited
353,568,Spain,Female,32,7,169399.6,1,1,Inactive,61936.22,Non_exited
354,670,Spain,Male,25,6,0,2,1,Active,78358.94,Non_exited
355,613,France,Female,45,1,187841.99,2,1,Active,147224.27,Non_exited
356,539,France,Male,30,0,0,2,1,Inactive,160979.66,Non_exited
357,850,Spain,Female,57,8,126776.3,2,1,Active,132298.49,Non_exited
358,522,Spain,Male,34,9,126436.29,1,1,Inactive,174248.52,Exited
359,737,France,Male,41,1,101960.74,1,1,Active,123547.28,Non_exited
360,520,France,Male,58,3,0,2,0,Active,32790.02,Non_exited
361,706,Spain,Male,28,3,0,2,0,Active,181543.67,Non_exited
362,643,Germany,Female,45,2,150842.93,1,0,Active,2319.96,Exited
363,648,France,Female,50,9,102535.57,1,1,Active,189543.19,Non_exited
364,443,Germany,Female,29,9,99027.61,2,1,Inactive,10940.4,Non_exited
365,640,France,Male,68,9,0,2,1,Active,199493.38,Non_exited
366,628,Spain,Female,33,3,0,1,1,Active,188193.25,Non_exited
367,540,Germany,Female,42,9,87271.41,2,1,Inactive,172572.64,Non_exited
368,460,Germany,Female,35,8,102742.91,2,1,Active,189339.6,Non_exited
369,636,Germany,Male,34,2,40105.51,2,0,Active,53512.16,Non_exited
370,593,France,Female,29,2,152265.43,1,1,Inactive,34004.44,Non_exited
371,801,Spain,Male,42,4,141947.67,1,1,Active,10598.29,Non_exited
372,640,Germany,Female,75,1,106307.91,2,0,Active,113428.77,Non_exited
373,611,Germany,Male,31,0,107884.81,2,1,Active,183487.98,Non_exited
374,802,Germany,Male,31,1,125013.72,1,1,Active,187658.09,Non_exited
375,717,Germany,Male,35,7,58469.37,2,1,Active,172459.39,Non_exited
376,769,France,Female,39,8,0,1,0,Active,21016,Non_exited
377,745,Germany,Male,45,10,117231.63,3,1,Active,122381.02,Exited
378,572,Spain,Male,35,4,152390.26,1,1,Inactive,128123.66,Non_exited
379,629,Spain,Female,30,2,34013.63,1,1,Inactive,19570.63,Non_exited
380,687,Spain,Female,39,2,0,3,0,Inactive,188150.6,Exited
